,countries,ioc_code,region,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total,total_participation,total_gold,total_silver,total_bronze,total_total
0,Armenia,(ARM),Europe,7,2,8,8,18,8,0,0,0,0,15,2,8,8,18
1,Austria,(AUT),Europe,28,20,35,41,96,24,71,88,91,250,52,91,123,132,346
2,Belarus,(BLR),Europe,7,13,30,42,85,8,8,7,5,20,15,21,37,47,105
3,Belgium,(BEL),Europe,27,44,56,57,157,22,2,2,4,8,49,46,58,61,165
4,Bulgaria,(BUL),Europe,21,54,88,82,224,21,1,2,3,6,42,55,90,85,230
5,Croatia,(CRO),Europe,8,14,13,14,41,9,4,6,1,11,17,18,19,15,52
6,Czech Republic,(CZE),Europe,7,19,21,27,67,8,10,11,13,34,15,29,32,40,101
7,Denmark,(DEN),Europe,28,48,78,79,205,15,0,1,0,1,43,48,79,79,206
8,Estonia,(EST),Europe,13,10,9,17,36,11,4,2,2,8,24,14,11,19,44
9,Finland,(FIN),Europe,26,101,85,119,305,24,45,65,65,175,50,146,150,184,480
10,France,(FRA),Europe,29,223,251,277,751,24,41,42,55,138,53,264,293,332,889
11,Georgia,(GEO),Europe,7,10,12,18,40,8,0,0,0,0,15,10,12,18,40
12,Germany,(GER),Europe,17,201,207,247,655,13,104,98,65,267,30,305,305,312,922
13,Great Britain,(GBR),Europe,29,284,318,314,916,24,12,5,17,34,53,296,323,331,950
14,Greece,(GRE),Europe,29,35,45,41,121,20,0,0,0,0,49,35,45,41,121
15,Hungary,(HUN),Europe,27,181,154,176,511,24,2,2,6,10,51,183,156,182,521
16,Iceland,(ISL),Europe,21,0,2,2,4,19,0,0,0,0,40,0,2,2,4
17,Ireland,(IRL),Europe,22,11,10,14,35,8,0,0,0,0,30,11,10,14,35
18,Italy,(ITA),Europe,28,217,188,213,618,24,42,43,56,141,52,259,231,269,759
19,Kosovo,(KOS),Europe,2,3,0,0,3,2,0,0,0,0,4,3,0,0,3
20,Latvia,(LAT),Europe,12,4,11,6,21,12,1,3,6,10,24,5,14,12,31
21,Liechtenstein,(LIE),Europe,18,0,0,0,0,20,2,2,6,10,38,2,2,6,10
22,Lithuania,(LTU),Europe,10,6,7,13,26,10,0,0,0,0,20,6,7,13,26
23,Luxembourg,(LUX),Europe,25,2,1,0,3,10,0,2,0,2,35,2,3,0,5
24,Moldova,(MDA),Europe,7,0,2,4,6,8,0,0,0,0,15,0,2,4,6
25,Montenegro,(MNE),Europe,4,0,1,0,1,4,0,0,0,0,8,0,1,0,1
26,Netherlands,(NED),Europe,27,95,105,122,322,22,53,49,45,147,49,148,154,167,469
27,North Macedonia,(MKD),Europe,7,0,1,1,2,7,0,0,0,0,14,0,1,1,2
28,Norway,(NOR),Europe,27,62,51,50,163,24,148,133,124,405,51,210,184,174,568
29,Poland,(POL),Europe,22,72,89,137,298,24,7,7,9,23,46,79,96,146,321
30,Portugal,(POR),Europe,25,5,9,14,28,9,0,0,0,0,34,5,9,14,28
31,Romania,(ROU),Europe,22,90,97,121,308,22,0,0,1,1,44,90,97,122,309
32,Russia,(RUS),Europe,6,148,126,151,425,6,47,39,35,121,12,195,165,186,546
33,San Marino,(SMR),Europe,15,0,1,2,3,11,0,0,0,0,26,0,1,2,3
34,Serbia,(SRB),Europe,5,6,7,11,24,4,0,0,0,0,9,6,7,11,24
35,Slovakia,(SVK),Europe,7,10,14,8,32,8,4,4,2,10,15,14,18,10,42
36,Slovenia,(SLO),Europe,8,8,9,11,28,9,4,8,12,24,17,12,17,23,52
37,Spain,(ESP),Europe,24,48,72,49,169,21,1,1,3,5,45,49,73,52,174
38,Sweden,(SWE),Europe,28,148,176,179,503,24,65,51,60,176,52,213,227,239,679
39,Switzerland,(SUI),Europe,29,53,79,74,206,24,63,47,58,168,53,116,126,132,374
40,Ukraine,(UKR),Europe,7,35,36,68,139,8,3,2,4,9,15,38,38,72,148
